,name,pts,source,week,year
3384,Dexter McCluster,2.53,CBS,11,2015
3385,Charles Sims,2.4,CBS,11,2015
3386,Bilal Powell,2.34,CBS,11,2015
3387,LeSean McCoy,2.32,CBS,11,2015
3388,Roy Helu,2.29,CBS,11,2015
3389,Kyle Juszczyk,2.24,CBS,11,2015
3390,Frank Gore,2.18,CBS,11,2015
3391,Todd Gurley,2.09,CBS,11,2015
3392,Doug Martin,2.04,CBS,11,2015
3393,Adrian Peterson,2.03,CBS,11,2015
3394,Andre Ellington,2,CBS,11,2015
3395,Melvin Gordon,1.92,CBS,11,2015
3396,Marshawn Lynch,1.91,CBS,11,2015
3397,C.J. Anderson,1.89,CBS,11,2015
3398,Jonathan Grimes,1.89,CBS,11,2015
3399,James White,1.73,CBS,11,2015
3400,Shaun Draughn,1.72,CBS,11,2015
3401,Ameer Abdullah,1.61,CBS,11,2015
3402,Chris Ivory,1.58,CBS,11,2015
3403,Charcandrick West,1.57,CBS,11,2015
3404,Ronnie Hillman,1.45,CBS,11,2015
3405,Chris Johnson,1.43,CBS,11,2015
3406,Benny Cunningham,1.37,CBS,11,2015
3407,Matt Jones,1.34,CBS,11,2015
3408,Jonathan Stewart,1.32,CBS,11,2015
3409,Bruce Miller,1.32,CBS,11,2015
3410,LeGarrette Blount,1.3,CBS,11,2015
3411,David Johnson,1.3,CBS,11,2015
3412,Mike Tolbert,1.29,CBS,11,2015
3413,Karlos Williams,1.26,CBS,11,2015
3414,Taiwan Jones,1.23,CBS,11,2015
3415,Eddie Lacy,1.2,CBS,11,2015
3416,Ahmad Bradshaw,1.17,CBS,11,2015
3417,Chris Polk,1.16,CBS,11,2015
3418,Antonio Andrews,1.15,CBS,11,2015
3419,Joique Bell,1.15,CBS,11,2015
3420,David Cobb,1.13,CBS,11,2015
3421,Alfred Morris,1.12,CBS,11,2015
3422,Jeremy Hill,1.02,CBS,11,2015
3423,Matt Asiata,1.02,CBS,11,2015
3424,Denard Robinson,1.01,CBS,11,2015
3425,Alfred Blue,0.995,CBS,11,2015
3426,Carlos Hyde,0.982,CBS,11,2015
3427,Donald Brown,0.98,CBS,11,2015
3428,Brandon Bolden,0.964,CBS,11,2015
3429,Jay Ajayi,0.935,CBS,11,2015
3430,Knile Davis,0.913,CBS,11,2015
3431,Tyler Clutts,0.886,CBS,11,2015
3432,Thomas Rawls,0.885,CBS,11,2015
3433,Tommy Bohanon,0.865,CBS,11,2015
3434,John Kuhn,0.831,CBS,11,2015
3435,Jamize Olawale,0.825,CBS,11,2015
3436,Ka'Deem Carey,0.815,CBS,11,2015
3437,Antone Smith,0.815,CBS,11,2015
3438,Trey Williams,0.757,CBS,11,2015
3439,Stevan Ridley,0.755,CBS,11,2015
3440,Patrick DiMarco,0.738,CBS,11,2015
3441,Anthony Dixon,0.736,CBS,11,2015
3442,Fozzy Whittaker,0.733,CBS,11,2015
3443,Kendall Gaskins,0.727,CBS,11,2015
3444,Javorius Allen,0.699,CBS,11,2015
3445,Anthony Sherman,0.682,CBS,11,2015
3446,Bishop Sankey,0.663,CBS,11,2015
3447,Tre Mason,0.66,CBS,11,2015
3448,Tevin Coleman,0.634,CBS,11,2015
3449,Zach Line,0.542,CBS,11,2015
3450,Rod Smith,0.524,CBS,11,2015
3451,Jerome Felton,0.509,CBS,11,2015
3452,Darrel Young,0.484,CBS,11,2015
3453,Jerick McKinnon,0.475,CBS,11,2015
3454,Jalston Fowler,0.317,CBS,11,2015
3455,Derrick Coleman,0.279,CBS,11,2015
3456,Fred Jackson,0.119,CBS,11,2015
3457,Damien Williams,0.049,CBS,11,2015
3458,Raheem Mostert,0.044,CBS,11,2015
3459,Bobby Rainey,0.041,CBS,11,2015
3460,Terron Ward,0.041,CBS,11,2015
3461,Josh Robinson,0.04,CBS,11,2015
3462,Terrance West,0.039,CBS,11,2015
3463,Mike James,0.037,CBS,11,2015
3464,Toby Gerhart,0.034,CBS,11,2015
3465,Kenjon Barner,0.032,CBS,11,2015
3466,Jonas Gray,0.032,CBS,11,2015
3467,Rex Burkhead,0.031,CBS,11,2015
3468,Jay Prosch,0.028,CBS,11,2015
3469,Travaris Cadet,0.027,CBS,11,2015
3470,Jorvorskie Lane,0.024,CBS,11,2015
3471,Cameron Artis-Payne,0.024,CBS,11,2015
3472,Bernard Pierce,0.023,CBS,11,2015
3473,Stepfan Taylor,0.019,CBS,11,2015
3474,Spencer Ware,0.015,CBS,11,2015
3475,Michael Burton,0.013,CBS,11,2015
3476,Juwan Thompson,0.011,CBS,11,2015
3477,Aaron Ripkowski,0.011,CBS,11,2015
3478,Will Tukuafu,0.01,CBS,11,2015
3479,Cedric Peerman,0.003,CBS,11,2015
3480,George Winn,0,CBS,11,2015
3481,Brandon Wegher,0,CBS,11,2015
3482,Bryce Brown,0,CBS,11,2015
3483,Chase Reynolds,0,CBS,11,2015
3484,Christine Michael,0,CBS,11,2015
3485,Alonzo Harris,0,CBS,11,2015
3486,Pierre Thomas,0,CBS,11,2015
3487,Jarryd Hayne,0,CBS,11,2015
3488,Dan Herron,0,CBS,11,2015
3489,LaMichael James,0,CBS,11,2015
3490,Joe Banyard,0,CBS,11,2015
3491,Terrence Magee,0,CBS,11,2015
3492,Marcus Thigpen,0,CBS,11,2015
3493,Danny Woodhead,4.46,CBS,12,2015
3494,Matt Forte,4.22,CBS,12,2015
3495,Shane Vereen,3.91,CBS,12,2015
3496,Devonta Freeman,3.85,CBS,12,2015
3497,Theo Riddick,3.69,CBS,12,2015
3498,DeMarco Murray,3.57,CBS,12,2015
3499,Duke Johnson,3.49,CBS,12,2015
3500,Giovani Bernard,3.46,CBS,12,2015
3501,Darren Sproles,3.37,CBS,12,2015
3502,Mark Ingram,3.16,CBS,12,2015
3503,James Starks,3.13,CBS,12,2015
3504,Lamar Miller,3.04,CBS,12,2015
3505,T.J. Yeldon,3.03,CBS,12,2015
3506,C.J. Spiller,2.79,CBS,12,2015
3507,Justin Forsett,2.78,CBS,12,2015
3508,Chris Thompson,2.69,CBS,12,2015
3509,Ryan Mathews,2.65,CBS,12,2015
3510,Darren McFadden,2.64,CBS,12,2015
3511,Dexter McCluster,2.56,CBS,12,2015
3512,Latavius Murray,2.53,CBS,12,2015
3513,Adrian Peterson,2.43,CBS,12,2015
3514,Bilal Powell,2.36,CBS,12,2015
3515,Marcel Reece,2.35,CBS,12,2015
3516,Charles Sims,2.33,CBS,12,2015
3517,Rashad Jennings,2.29,CBS,12,2015
3518,Frank Gore,2.28,CBS,12,2015
3519,LeSean McCoy,2.26,CBS,12,2015
3520,Jonathan Grimes,2.19,CBS,12,2015
3521,Andre Ellington,2.15,CBS,12,2015
3522,Roy Helu,2.1,CBS,12,2015
3523,Melvin Gordon,2.09,CBS,12,2015
3524,Todd Gurley,2.01,CBS,12,2015
3525,Doug Martin,1.97,CBS,12,2015
3526,Marshawn Lynch,1.91,CBS,12,2015
3527,Kyle Juszczyk,1.91,CBS,12,2015
3528,James White,1.78,CBS,12,2015
3529,DeAngelo Williams,1.76,CBS,12,2015
3530,C.J. Anderson,1.69,CBS,12,2015
3531,Chris Ivory,1.6,CBS,12,2015
3532,Chris Johnson,1.54,CBS,12,2015
3533,Ameer Abdullah,1.5,CBS,12,2015
3534,David Johnson,1.4,CBS,12,2015
3535,Matt Jones,1.39,CBS,12,2015
3536,Jeremy Langford,1.36,CBS,12,2015
3537,Jonathan Stewart,1.36,CBS,12,2015
3538,Chris Polk,1.34,CBS,12,2015
3539,LeGarrette Blount,1.34,CBS,12,2015
3540,Mike Tolbert,1.33,CBS,12,2015
3541,Benny Cunningham,1.31,CBS,12,2015
3542,Charcandrick West,1.29,CBS,12,2015
3543,Ronnie Hillman,1.29,CBS,12,2015
3544,Orleans Darkwa,1.27,CBS,12,2015
3545,Karlos Williams,1.24,CBS,12,2015
3546,Ahmad Bradshaw,1.23,CBS,12,2015
3547,Matt Asiata,1.21,CBS,12,2015
3548,Jeremy Hill,1.2,CBS,12,2015
3549,Antonio Andrews,1.17,CBS,12,2015
3550,Isaiah Crowell,1.17,CBS,12,2015
3551,Eddie Lacy,1.17,CBS,12,2015
3552,Alfred Morris,1.17,CBS,12,2015
3553,Alfred Blue,1.15,CBS,12,2015
3554,Bruce Miller,1.14,CBS,12,2015
3555,David Cobb,1.14,CBS,12,2015
3556,Carlos Hyde,1.13,CBS,12,2015
3557,Taiwan Jones,1.13,CBS,12,2015
3558,Donald Brown,1.07,CBS,12,2015
3559,Joique Bell,1.07,CBS,12,2015
3560,Denard Robinson,1.06,CBS,12,2015
3561,Brandon Bolden,0.994,CBS,12,2015
3562,Thomas Rawls,0.888,CBS,12,2015
3563,Jay Ajayi,0.887,CBS,12,2015
3564,Tommy Bohanon,0.873,CBS,12,2015
3565,Tyler Clutts,0.857,CBS,12,2015
3566,Jordan Todman,0.848,CBS,12,2015
3567,John Kuhn,0.807,CBS,12,2015
3568,Patrick DiMarco,0.804,CBS,12,2015
3569,Andre Williams,0.799,CBS,12,2015
3570,Stevan Ridley,0.762,CBS,12,2015
3571,Jamize Olawale,0.757,CBS,12,2015
3572,Fozzy Whittaker,0.753,CBS,12,2015
3573,Knile Davis,0.75,CBS,12,2015
3574,Shaun Draughn,0.745,CBS,12,2015
3575,Trey Williams,0.733,CBS,12,2015
3576,Anthony Dixon,0.718,CBS,12,2015
3577,Tevin Coleman,0.69,CBS,12,2015
3578,Bishop Sankey,0.67,CBS,12,2015
3579,Zach Line,0.647,CBS,12,2015
3580,Tre Mason,0.634,CBS,12,2015
3581,Javorius Allen,0.596,CBS,12,2015
3582,Jerick McKinnon,0.567,CBS,12,2015
3583,Anthony Sherman,0.56,CBS,12,2015
3584,Austin Johnson,0.546,CBS,12,2015
3585,Rod Smith,0.507,CBS,12,2015
3586,Darrel Young,0.504,CBS,12,2015
3587,Will Johnson,0.502,CBS,12,2015
3588,Jerome Felton,0.498,CBS,12,2015
3589,Jalston Fowler,0.321,CBS,12,2015
3590,Derrick Coleman,0.28,CBS,12,2015
3591,Fred Jackson,0.12,CBS,12,2015
3592,Isaiah Pead,0.056,CBS,12,2015
3593,Damien Williams,0.047,CBS,12,2015
3594,Terron Ward,0.045,CBS,12,2015
3595,Josh Robinson,0.042,CBS,12,2015
3596,Raheem Mostert,0.038,CBS,12,2015
3597,Rex Burkhead,0.037,CBS,12,2015
3598,Toby Gerhart,0.036,CBS,12,2015
3599,Glenn Winston,0.035,CBS,12,2015
3600,Terrance West,0.033,CBS,12,2015
3601,Bobby Rainey,0.033,CBS,12,2015
3602,Kenjon Barner,0.033,CBS,12,2015
3603,Jay Prosch,0.032,CBS,12,2015
3604,Jonas Gray,0.031,CBS,12,2015
3605,Mike James,0.029,CBS,12,2015
3606,Bernard Pierce,0.025,CBS,12,2015
3607,Cameron Artis-Payne,0.024,CBS,12,2015
3608,Kendall Gaskins,0.022,CBS,12,2015
3609,Stepfan Taylor,0.021,CBS,12,2015
3610,Travaris Cadet,0.02,CBS,12,2015
3611,Jorvorskie Lane,0.019,CBS,12,2015
3612,Spencer Ware,0.012,CBS,12,2015
3613,Michael Burton,0.012,CBS,12,2015
3614,Aaron Ripkowski,0.011,CBS,12,2015
3615,Will Tukuafu,0.01,CBS,12,2015
3616,Roosevelt Nix,0.01,CBS,12,2015
3617,Ka'Deem Carey,0.01,CBS,12,2015
3618,Juwan Thompson,0.01,CBS,12,2015
3619,Nikita Whitlock,0.009,CBS,12,2015
3620,Cedric Peerman,0.003,CBS,12,2015
3621,Bryce Brown,0,CBS,12,2015
3622,Chase Reynolds,0,CBS,12,2015
3623,Christine Michael,0,CBS,12,2015
3624,Tim Hightower,0,CBS,12,2015
3625,Alonzo Harris,0,CBS,12,2015
3626,Pierre Thomas,0,CBS,12,2015
3627,Jarryd Hayne,0,CBS,12,2015
3628,LaMichael James,0,CBS,12,2015
3629,Marcus Murphy,0,CBS,12,2015
3630,Antone Smith,0,CBS,12,2015
3631,Fitzgerald Toussaint,0,CBS,12,2015
3632,Terrence Magee,0,CBS,12,2015
3633,Robert Turbin,0,CBS,12,2015
3634,George Winn,0,CBS,12,2015
3635,Brandon Wegher,0,CBS,12,2015
3636,Dri Archer,0,CBS,12,2015
3637,Dan Herron,0,CBS,12,2015
3638,Joe Banyard,0,CBS,12,2015
3639,Marcus Thigpen,0,CBS,12,2015
3640,Matt Forte,4.72,CBS,13,2015
3641,Danny Woodhead,4.26,CBS,13,2015
3642,Devonta Freeman,4.16,CBS,13,2015
3643,Theo Riddick,3.57,CBS,13,2015
3644,Shane Vereen,3.39,CBS,13,2015
3645,Duke Johnson,3.39,CBS,13,2015
3646,James Starks,3.35,CBS,13,2015
3647,Mark Ingram,3.27,CBS,13,2015
3648,DeMarco Murray,3.26,CBS,13,2015
3649,Lamar Miller,3.21,CBS,13,2015
3650,Darren Sproles,3.07,CBS,13,2015
3651,T.J. Yeldon,3.03,CBS,13,2015
3652,Justin Forsett,3.01,CBS,13,2015
3653,Giovani Bernard,2.91,CBS,13,2015
3654,C.J. Spiller,2.89,CBS,13,2015
3655,Darren McFadden,2.82,CBS,13,2015
3656,Chris Thompson,2.64,CBS,13,2015
3657,Charles Sims,2.63,CBS,13,2015
3658,Bilal Powell,2.49,CBS,13,2015
3659,Dexter McCluster,2.45,CBS,13,2015
3660,Latavius Murray,2.43,CBS,13,2015
3661,Ryan Mathews,2.41,CBS,13,2015
3662,Andre Ellington,2.36,CBS,13,2015
3663,LeSean McCoy,2.33,CBS,13,2015
3664,Frank Gore,2.31,CBS,13,2015
3665,Marcel Reece,2.25,CBS,13,2015
3666,Doug Martin,2.23,CBS,13,2015
3667,Adrian Peterson,2.17,CBS,13,2015
3668,Kyle Juszczyk,2.06,CBS,13,2015
3669,Roy Helu,2.01,CBS,13,2015
3670,Marshawn Lynch,2.01,CBS,13,2015
3671,Melvin Gordon,2,CBS,13,2015
3672,Rashad Jennings,1.99,CBS,13,2015
3673,Jonathan Grimes,1.96,CBS,13,2015
3674,C.J. Anderson,1.92,CBS,13,2015
3675,Todd Gurley,1.91,CBS,13,2015
3676,James White,1.83,CBS,13,2015
3677,Chris Johnson,1.69,CBS,13,2015
3678,Chris Ivory,1.68,CBS,13,2015
3679,DeAngelo Williams,1.67,CBS,13,2015
3680,Charcandrick West,1.62,CBS,13,2015
3681,David Johnson,1.54,CBS,13,2015
3682,Jeremy Langford,1.53,CBS,13,2015
3683,Ronnie Hillman,1.47,CBS,13,2015
3684,Ameer Abdullah,1.46,CBS,13,2015
3685,Jonathan Stewart,1.38,CBS,13,2015
3686,Bruce Miller,1.38,CBS,13,2015
3687,LeGarrette Blount,1.38,CBS,13,2015
3688,Carlos Hyde,1.37,CBS,13,2015
3689,Matt Jones,1.37,CBS,13,2015
3690,Mike Tolbert,1.34,CBS,13,2015
3691,Karlos Williams,1.27,CBS,13,2015
3692,Benny Cunningham,1.25,CBS,13,2015
3693,Eddie Lacy,1.25,CBS,13,2015
3694,Ahmad Bradshaw,1.24,CBS,13,2015
3695,Chris Polk,1.2,CBS,13,2015
3696,Alfred Morris,1.14,CBS,13,2015
3697,Isaiah Crowell,1.13,CBS,13,2015
3698,Antonio Andrews,1.12,CBS,13,2015
3699,Orleans Darkwa,1.1,CBS,13,2015
3700,David Cobb,1.09,CBS,13,2015
3701,Matt Asiata,1.08,CBS,13,2015
3702,Taiwan Jones,1.08,CBS,13,2015
3703,Denard Robinson,1.05,CBS,13,2015
3704,Joique Bell,1.04,CBS,13,2015
3705,Alfred Blue,1.03,CBS,13,2015
3706,Donald Brown,1.02,CBS,13,2015
3707,Brandon Bolden,1.02,CBS,13,2015
3708,Jeremy Hill,1.01,CBS,13,2015
3709,Knile Davis,0.94,CBS,13,2015
3710,Jay Ajayi,0.937,CBS,13,2015
3711,Thomas Rawls,0.935,CBS,13,2015
3712,Tommy Bohanon,0.92,CBS,13,2015
3713,Tyler Clutts,0.914,CBS,13,2015
3714,Shaun Draughn,0.9,CBS,13,2015
3715,Patrick DiMarco,0.869,CBS,13,2015
3716,John Kuhn,0.862,CBS,13,2015
3717,Jordan Todman,0.804,CBS,13,2015
3718,Stevan Ridley,0.803,CBS,13,2015
3719,Trey Williams,0.781,CBS,13,2015
3720,Fozzy Whittaker,0.762,CBS,13,2015
3721,Tevin Coleman,0.746,CBS,13,2015
3722,Anthony Dixon,0.741,CBS,13,2015
3723,Jamize Olawale,0.724,CBS,13,2015
3724,Anthony Sherman,0.702,CBS,13,2015
3725,Andre Williams,0.693,CBS,13,2015
3726,Javorius Allen,0.643,CBS,13,2015
3727,Bishop Sankey,0.643,CBS,13,2015
3728,Tre Mason,0.603,CBS,13,2015
3729,Zach Line,0.577,CBS,13,2015
3730,Austin Johnson,0.565,CBS,13,2015
3731,Rod Smith,0.541,CBS,13,2015
3732,Jerome Felton,0.513,CBS,13,2015
3733,Jerick McKinnon,0.507,CBS,13,2015
3734,Darrel Young,0.495,CBS,13,2015
3735,Will Johnson,0.477,CBS,13,2015
3736,Jalston Fowler,0.308,CBS,13,2015
3737,Derrick Coleman,0.295,CBS,13,2015
3738,Fred Jackson,0.126,CBS,13,2015
3739,Isaiah Pead,0.053,CBS,13,2015
3740,Damien Williams,0.049,CBS,13,2015
3741,Terron Ward,0.049,CBS,13,2015
3742,Raheem Mostert,0.041,CBS,13,2015
3743,Josh Robinson,0.039,CBS,13,2015
3744,Bobby Rainey,0.037,CBS,13,2015
3745,Terrance West,0.036,CBS,13,2015
3746,Toby Gerhart,0.036,CBS,13,2015
3747,Glenn Winston,0.034,CBS,13,2015
3748,Mike James,0.033,CBS,13,2015
3749,Jonas Gray,0.032,CBS,13,2015
3750,Rex Burkhead,0.031,CBS,13,2015
3751,Kenjon Barner,0.03,CBS,13,2015
3752,Jay Prosch,0.029,CBS,13,2015
3753,Kendall Gaskins,0.027,CBS,13,2015
3754,Bernard Pierce,0.025,CBS,13,2015
3755,Cameron Artis-Payne,0.025,CBS,13,2015
3756,Travaris Cadet,0.024,CBS,13,2015
3757,Stepfan Taylor,0.023,CBS,13,2015
3758,Jorvorskie Lane,0.021,CBS,13,2015
3759,Spencer Ware,0.016,CBS,13,2015
3760,Michael Burton,0.012,CBS,13,2015
3761,Juwan Thompson,0.012,CBS,13,2015
3762,Aaron Ripkowski,0.012,CBS,13,2015
3763,Will Tukuafu,0.011,CBS,13,2015
3764,Ka'Deem Carey,0.011,CBS,13,2015
3765,Roosevelt Nix,0.009,CBS,13,2015
3766,Nikita Whitlock,0.008,CBS,13,2015
3767,Cedric Peerman,0.003,CBS,13,2015
3768,Bryce Brown,0,CBS,13,2015
3769,Chase Reynolds,0,CBS,13,2015
3770,Christine Michael,0,CBS,13,2015
3771,Tim Hightower,0,CBS,13,2015
3772,Alonzo Harris,0,CBS,13,2015
3773,Pierre Thomas,0,CBS,13,2015
3774,Jarryd Hayne,0,CBS,13,2015
3775,LaMichael James,0,CBS,13,2015
3776,Marcus Murphy,0,CBS,13,2015
3777,Antone Smith,0,CBS,13,2015
3778,Fitzgerald Toussaint,0,CBS,13,2015
3779,Terrence Magee,0,CBS,13,2015
3780,Robert Turbin,0,CBS,13,2015
3781,George Winn,0,CBS,13,2015
3782,Brandon Wegher,0,CBS,13,2015
3783,Dri Archer,0,CBS,13,2015
3784,Dan Herron,0,CBS,13,2015
3785,Joe Banyard,0,CBS,13,2015
3786,Marcus Thigpen,0,CBS,13,2015
3787,Matt Forte,4.83,CBS,14,2015
3788,Theo Riddick,4.37,CBS,14,2015
3789,Danny Woodhead,4.2,CBS,14,2015
3790,Devonta Freeman,3.71,CBS,14,2015
3791,Shane Vereen,3.69,CBS,14,2015
3792,Duke Johnson,3.63,CBS,14,2015
3793,Mark Ingram,3.52,CBS,14,2015
3794,Lamar Miller,3.26,CBS,14,2015
3795,James Starks,3.17,CBS,14,2015
3796,C.J. Spiller,3.1,CBS,14,2015
3797,Giovani Bernard,3.09,CBS,14,2015
3798,DeMarco Murray,2.95,CBS,14,2015
3799,T.J. Yeldon,2.94,CBS,14,2015
3800,Justin Forsett,2.88,CBS,14,2015
3801,Darren Sproles,2.79,CBS,14,2015
3802,Chris Thompson,2.74,CBS,14,2015
3803,Charles Sims,2.59,CBS,14,2015
3804,Latavius Murray,2.55,CBS,14,2015
3805,Darren McFadden,2.53,CBS,14,2015
3806,Marcel Reece,2.36,CBS,14,2015
3807,LeSean McCoy,2.35,CBS,14,2015
3808,Dexter McCluster,2.35,CBS,14,2015
3809,Bilal Powell,2.27,CBS,14,2015
3810,Todd Gurley,2.21,CBS,14,2015
3811,Ryan Mathews,2.19,CBS,14,2015
3812,Doug Martin,2.19,CBS,14,2015
3813,Rashad Jennings,2.16,CBS,14,2015
3814,Adrian Peterson,2.16,CBS,14,2015
3815,Andre Ellington,2.14,CBS,14,2015
3816,Roy Helu,2.12,CBS,14,2015
3817,Frank Gore,2.08,CBS,14,2015
3818,Marshawn Lynch,2.02,CBS,14,2015
3819,Jonathan Grimes,1.99,CBS,14,2015
3820,Kyle Juszczyk,1.98,CBS,14,2015
3821,Melvin Gordon,1.97,CBS,14,2015
3822,C.J. Anderson,1.85,CBS,14,2015
3823,James White,1.83,CBS,14,2015
3824,Ameer Abdullah,1.78,CBS,14,2015
3825,DeAngelo Williams,1.7,CBS,14,2015
3826,Jeremy Langford,1.56,CBS,14,2015
3827,Chris Ivory,1.54,CBS,14,2015
3828,Chris Johnson,1.53,CBS,14,2015
3829,Benny Cunningham,1.45,CBS,14,2015
3830,Charcandrick West,1.43,CBS,14,2015
3831,Matt Jones,1.42,CBS,14,2015
3832,Ronnie Hillman,1.42,CBS,14,2015
3833,David Johnson,1.39,CBS,14,2015
3834,LeGarrette Blount,1.37,CBS,14,2015
3835,Jonathan Stewart,1.33,CBS,14,2015
3836,Mike Tolbert,1.3,CBS,14,2015
3837,Karlos Williams,1.28,CBS,14,2015
3838,Joique Bell,1.27,CBS,14,2015
3839,Bruce Miller,1.25,CBS,14,2015
3840,Carlos Hyde,1.24,CBS,14,2015
3841,Chris Polk,1.22,CBS,14,2015
3842,Isaiah Crowell,1.21,CBS,14,2015
3843,Orleans Darkwa,1.2,CBS,14,2015
3844,Alfred Morris,1.19,CBS,14,2015
3845,Eddie Lacy,1.18,CBS,14,2015
3846,Taiwan Jones,1.14,CBS,14,2015
3847,Ahmad Bradshaw,1.12,CBS,14,2015
3848,Matt Asiata,1.08,CBS,14,2015
3849,Antonio Andrews,1.07,CBS,14,2015
3850,Jeremy Hill,1.07,CBS,14,2015
3851,Alfred Blue,1.05,CBS,14,2015
3852,David Cobb,1.05,CBS,14,2015
3853,Denard Robinson,1.02,CBS,14,2015
3854,Brandon Bolden,1.02,CBS,14,2015
3855,Donald Brown,1.01,CBS,14,2015
3856,Jay Ajayi,0.951,CBS,14,2015
3857,Thomas Rawls,0.939,CBS,14,2015
3858,Tommy Bohanon,0.84,CBS,14,2015
3859,Knile Davis,0.834,CBS,14,2015
3860,Jordan Todman,0.821,CBS,14,2015
3861,Tyler Clutts,0.821,CBS,14,2015
3862,John Kuhn,0.817,CBS,14,2015
3863,Shaun Draughn,0.817,CBS,14,2015
3864,Patrick DiMarco,0.775,CBS,14,2015
3865,Jamize Olawale,0.762,CBS,14,2015
3866,Andre Williams,0.753,CBS,14,2015
3867,Anthony Dixon,0.745,CBS,14,2015
3868,Fozzy Whittaker,0.739,CBS,14,2015
3869,Stevan Ridley,0.734,CBS,14,2015
3870,Trey Williams,0.702,CBS,14,2015
3871,Tre Mason,0.698,CBS,14,2015
3872,Tevin Coleman,0.666,CBS,14,2015
3873,Anthony Sherman,0.623,CBS,14,2015
3874,Javorius Allen,0.617,CBS,14,2015
3875,Bishop Sankey,0.615,CBS,14,2015
3876,Austin Johnson,0.608,CBS,14,2015
3877,Zach Line,0.575,CBS,14,2015
3878,Jerome Felton,0.516,CBS,14,2015
3879,Darrel Young,0.514,CBS,14,2015
3880,Jerick McKinnon,0.504,CBS,14,2015
3881,Will Johnson,0.486,CBS,14,2015
3882,Rod Smith,0.485,CBS,14,2015
3883,Derrick Coleman,0.296,CBS,14,2015
3884,Jalston Fowler,0.294,CBS,14,2015
3885,Fred Jackson,0.126,CBS,14,2015
3886,Isaiah Pead,0.054,CBS,14,2015
3887,Damien Williams,0.05,CBS,14,2015
3888,Terron Ward,0.044,CBS,14,2015
3889,Raheem Mostert,0.039,CBS,14,2015
3890,Bobby Rainey,0.037,CBS,14,2015
3891,Glenn Winston,0.036,CBS,14,2015
3892,Toby Gerhart,0.035,CBS,14,2015
3893,Josh Robinson,0.035,CBS,14,2015
3894,Terrance West,0.034,CBS,14,2015
3895,Mike James,0.033,CBS,14,2015
3896,Rex Burkhead,0.033,CBS,14,2015
3897,Jonas Gray,0.033,CBS,14,2015
3898,Jay Prosch,0.029,CBS,14,2015
3899,Kenjon Barner,0.027,CBS,14,2015
3900,Bernard Pierce,0.024,CBS,14,2015
3901,Kendall Gaskins,0.024,CBS,14,2015
3902,Cameron Artis-Payne,0.024,CBS,14,2015
3903,Travaris Cadet,0.022,CBS,14,2015
3904,Jorvorskie Lane,0.021,CBS,14,2015
3905,Stepfan Taylor,0.02,CBS,14,2015
3906,Spencer Ware,0.014,CBS,14,2015
3907,Michael Burton,0.014,CBS,14,2015
3908,Will Tukuafu,0.011,CBS,14,2015
3909,Ka'Deem Carey,0.011,CBS,14,2015
3910,Juwan Thompson,0.011,CBS,14,2015
3911,Aaron Ripkowski,0.011,CBS,14,2015
3912,Roosevelt Nix,0.009,CBS,14,2015
3913,Nikita Whitlock,0.008,CBS,14,2015
3914,Cedric Peerman,0.003,CBS,14,2015
3915,Bryce Brown,0,CBS,14,2015
3916,Chase Reynolds,0,CBS,14,2015
3917,Christine Michael,0,CBS,14,2015
3918,Tim Hightower,0,CBS,14,2015
3919,Alonzo Harris,0,CBS,14,2015
3920,Pierre Thomas,0,CBS,14,2015
3921,Jarryd Hayne,0,CBS,14,2015
3922,LaMichael James,0,CBS,14,2015
3923,Marcus Murphy,0,CBS,14,2015
3924,Antone Smith,0,CBS,14,2015
3925,Fitzgerald Toussaint,0,CBS,14,2015
3926,Terrence Magee,0,CBS,14,2015
3927,Robert Turbin,0,CBS,14,2015
3928,George Winn,0,CBS,14,2015
3929,Brandon Wegher,0,CBS,14,2015
3930,Dri Archer,0,CBS,14,2015
3931,Dan Herron,0,CBS,14,2015
3932,Joe Banyard,0,CBS,14,2015
3933,Marcus Thigpen,0,CBS,14,2015
3934,Matt Forte,4.61,CBS,15,2015
3935,Danny Woodhead,4.46,CBS,15,2015
3936,Theo Riddick,4.06,CBS,15,2015
3937,Devonta Freeman,3.78,CBS,15,2015
3938,Duke Johnson,3.64,CBS,15,2015
3939,Shane Vereen,3.59,CBS,15,2015
3940,Mark Ingram,3.49,CBS,15,2015
3941,James Starks,3.39,CBS,15,2015
3942,Lamar Miller,3.34,CBS,15,2015
3943,Giovani Bernard,3.31,CBS,15,2015
3944,T.J. Yeldon,3.19,CBS,15,2015
3945,C.J. Spiller,3.08,CBS,15,2015
3946,DeMarco Murray,3.04,CBS,15,2015
3947,Darren Sproles,2.87,CBS,15,2015
3948,Charles Sims,2.86,CBS,15,2015
3949,Justin Forsett,2.7,CBS,15,2015
3950,Bilal Powell,2.61,CBS,15,2015
3951,LeSean McCoy,2.58,CBS,15,2015
3952,Darren McFadden,2.51,CBS,15,2015
3953,Latavius Murray,2.44,CBS,15,2015
3954,Doug Martin,2.42,CBS,15,2015
3955,Dexter McCluster,2.39,CBS,15,2015
3956,Chris Thompson,2.39,CBS,15,2015
3957,Todd Gurley,2.32,CBS,15,2015
3958,Marcel Reece,2.26,CBS,15,2015
3959,Ryan Mathews,2.25,CBS,15,2015
3960,Adrian Peterson,2.18,CBS,15,2015
3961,Rashad Jennings,2.11,CBS,15,2015
